patricID	ri_t12_A	ri_t12_B	ri_t12_C	ri_t48_A	ri_t48_B	ri_t48_C	btri_t12_riA	btri_t12_riB	btri_t12_riC	btri_t24_riA	btri_t24_riB	btri_t24_riC	btri_t36_riA	btri_t36_riB	btri_t36_riC
fig|536231.75.peg.31	28	24	23	194	119	247	4	2	7	6	0	0	5	0	20
fig|536231.75.peg.32	0	0	0	15.761	31.83	7	0	0	0	0	0	0	0	0	18
fig|536231.75.peg.33	4	3	1	53.239	38.17	56	0	0	0	9	0	0	0	18	0
fig|536231.75.peg.34	57	83	31	1582	1447	1810	22	30	29	60	49	18	250	109	34
fig|536231.75.peg.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|536231.75.peg.36	14	33	1	438	284	406	6	4	4	21	24	17	337	80	18
fig|536231.75.peg.37	2	13	0	251	298	186	2	6	0	0	0	0	88	0	44
fig|536231.75.peg.38	2300	1593	1869	8946	6530	11626	346	330	287	300	303	197	1091	454	244
fig|536231.75.peg.39	1855	1003	952	2877	2460	4300	351	258	254	212	169	217	404	200	106
fig|536231.75.peg.40	51.905	23.603	105.786	210.703	108.242	314	16	8	19	25	0	0	30.998	0	29
fig|536231.75.peg.41	465.095	184.397	637.214	2448.297	1926.758	2396	52	59	55	77	59	43	279.002	165	110
fig|536231.75.peg.42	3	7	2	22	41	27	0	1	1	0	0	0	6	11	0
fig|536231.75.peg.43	150	90.51	207	205	230	358.029	25	27	16	9	14	0	18	28	25
fig|536231.75.peg.44	678	372.49	741	2677	2680	3765.971	93	93	89	81	57	150	122	90	141
fig|536231.75.peg.45	1316	693	1051	5086	4075	6204	135	145	120	104	182	174	266	129	180
fig|536231.75.peg.46	18420.898	12260	8478	2660	3274	4651	2401	2105	2757	1918	1602	1320	251	524	699
fig|536231.75.peg.47	35788.254	26469.107	15745	3673	3594	5175	4158	3020	4679	2393	2079	1910	220	547	764
fig|536231.75.peg.48	2787	1793	1602	1690	1327	2435	490	410	520	238	188	203	78	104	53
fig|536231.75.peg.49	3631	1861	2737	3186	3337	5353	325	233	262	67	259	70	173	107	84
fig|536231.75.peg.50	67	72.999	25	144.664	154	203.031	15	4	4	35	0	0	13	26	23
fig|536231.75.peg.51	59	52.001	21	81.336	83	96.969	3	3	19	22	25	0	46	11	0
fig|536231.75.peg.52	142	173	58	73	87	89	34	25	27	34	9	0	22	6	0
fig|536231.75.peg.53	222	301	401	164	227	392	62	68	42	18	21	0	22	23	14
fig|536231.75.peg.54	180	255	278	143	171	194	53	40	38	6	25	62	28	23	6
fig|536231.75.peg.55	50	99	67	94	93	80	2	8	7	8	25	0	17	35	0
fig|536231.75.peg.56	68	80	41	98	118	140	10	5	5	0	26	0	11	55	0
fig|536231.75.peg.57	51	74	19	84	152	131	10	4	9	2	10	0	0	53	5
fig|536231.75.peg.58	159	220	74	269	209	333	32	18	17	38	10	0	45	37	42
fig|536231.75.peg.59	177	129	148	83	95	212	12	15	13	13	0	13	43	0	10
fig|536231.75.peg.60	16	8	26	130	331	255	1	6	2	1	13	0	6	32	0
fig|536231.75.peg.61	6	18	8	41	61	55	0	0	2	7	0	0	0	0	0
fig|536231.75.peg.62	1192	809	1571	2782	3040	5822	264	214	200	192	189	165	226	207	148
fig|536231.75.peg.63	587	494	828	1058	1063	1712	203	113	156	190	159	85	178	102	153
fig|536231.75.peg.64	9	2	6	31	16	21	2	5	3	3	0	0	0	0	0
fig|536231.75.peg.65	8	14	7	29	68	46	3	3	0	0	0	0	0	10	0
